Mode,Time(s),Value
ohm2W,109.6343688965,33627.9873
ohm2W,109.8345184326,33627.9574
ohm2W,110.0344390869,33627.5981
ohm2W,110.2345809937,33627.5681
ohm2W,110.4345016479,33628.0771
ohm2W,110.6399536133,33628.8556
ohm2W,110.8346481323,33629.0053
ohm2W,111.0345687866,33629.1550
ohm2W,111.2345886230,33628.9454
ohm2W,111.4346466064,33628.2867
ohm2W,111.6346740723,33627.3885
ohm2W,111.8346939087,33626.1609
ohm2W,112.0347213745,33625.0830
ohm2W,112.2347335815,33624.9333
ohm2W,112.4347915649,33624.5441
ohm2W,112.6349182129,33623.9153
ohm2W,112.8393554688,33623.8255
ohm2W,113.0393600464,33624.3046
ohm2W,113.2394943237,33624.4842
ohm2W,113.4394989014,33624.7537
ohm2W,113.6394424438,33625.3525
ohm2W,113.8401107788,33626.5501
ohm2W,114.0401458740,33628.2568
ohm2W,114.2409515381,33629.6340
ohm2W,114.4409866333,33630.5622
ohm2W,114.6409225464,33631.0113
ohm2W,114.8501129150,33631.4904
ohm2W,115.0501174927,33632.5084
ohm2W,115.2501449585,33633.1371
ohm2W,115.4502792358,33633.4665
ohm2W,115.6502151489,33634.0953
ohm2W,115.8502349854,33634.9635
ohm2W,116.0503768921,33635.2629
ohm2W,116.2503967285,33635.4426
ohm2W,116.4503173828,33635.7719
ohm2W,116.6504516602,33636.5205
ohm2W,116.8503570557,33637.6283
ohm2W,117.0652618408,33638.6762
ohm2W,117.2651977539,33638.7960
ohm2W,117.4652175903,33638.3768
ohm2W,117.6653518677,33637.5983
ohm2W,117.8652725220,33636.5804
ohm2W,118.0701065063,33635.7420
ohm2W,118.2702636719,33635.6222
ohm2W,118.4701919556,33635.5923
ohm2W,118.6702270508,33636.0414
ohm2W,118.8702774048,33636.1612
ohm2W,119.0801315308,33635.9217
ohm2W,119.2802429199,33634.9935
ohm2W,119.4801635742,33634.2749
ohm2W,119.6801986694,33633.8557
ohm2W,119.8802566528,33633.3168
ohm2W,120.0803680420,33632.8677
